,Max Temp,Max Temp,Mean Temp,Mean Temp,Min Temp,Min Temp
,LTA,2019,LTA,2019,LTA,2019
JAN,5.95412844,6.3,3.288990826,3.7,0.629357798,0.8
FEB,6.289908257,10,3.410091743,6,0.523853211,2
MAR,8.459633028,10.1,5.003669725,6.8,1.559633028,3.5
APR,11.15963303,12.9,7.131192661,8.4,3.128440367,3.8
MAY,14.56788991,14.6,10.14862385,10,5.765137615,5.5
JUN,17.30642202,17.3,12.89541284,13.2,8.535779817,9.2
JUL,18.91192661,20.7,14.69266055,16.4,10.49541284,12
AUG,18.63486239,,14.49908257,,10.39174312,
SEP,16.27981651,,12.41100917,,8.556880734,
OCT,12.69633028,,9.340366972,,5.990825688,
NOV,8.69266055,,5.798165138,,2.917431193,
DEC,6.687155963,,4.027522936,,1.369724771,
